,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality,vertexCentrEigen
72,BEAUDOIN CE 2007,BEAUDOIN CE 2007,0.077557756,0.242788462,0.000616215,0.002076965,0.408739201,0.408739201,59,190,3,170.8185263,0.408739201
145,BURT R 1992,BURT R 1992,0.02640264,0.222385321,0.000301444,0.000978214,0.046619778,0.046619778,479,136,5,70.92739116,0.046619778
99,BORGATTI S 2002-2,BORGATTI S 2002-2,0.077557756,0.244848485,0.00335634,0.002297893,0.222641492,0.222641492,111,456,3,689.761094,0.222641492
147,BURT RS 1984,BURT RS 1984,0.018151815,0.223616236,0.000418167,0.000756926,0.04908318,0.04908318,523,534,5,91.59534756,0.04908318
514,PUTNAM RD 1993,PUTNAM RD 1993,0.077557756,0.243765084,0.000824901,0.002068398,0.39605466,0.39605466,61,439,3,236.9413369,0.39605466
573,TREMAYNE M 2004,TREMAYNE M 2004,0.077557756,0.244848485,0.002260611,0.002239901,0.215101974,0.215101974,118,291,3,511.6233582,0.215101974
290,GARTON LAURA 1997,GARTON LAURA 1997,0.075907591,0.244157937,0.002564463,0.002240414,0.231366655,0.231366655,113,502,3,497.2988985,0.231366655
220,DE ZUNIGA 2009,DE ZUNIGA 2009,0.074257426,0.242109469,0.003546313,0.002057503,0.380995324,0.380995324,62,417,3,712.5891602,0.380995324
152,BURT RS 2001,BURT RS 2001,0.041254125,0.231209462,0.000354788,0.001311995,0.111858666,0.111858666,291,138,5,81.83512273,0.111858666
355,HLEBEC V 2006,HLEBEC V 2006,0.074257426,0.241916168,0.001225245,0.001992962,0.389046351,0.389046351,69,533,3,258.0791502,0.389046351
154,BURT RS 2012,BURT RS 2012,0.04620462,0.227733935,0.000260257,0.001420935,0.142442873,0.142442873,233,137,5,77.98859346,0.142442873
438,LO VH 2010,LO VH 2010,0.074257426,0.243275793,0.001076556,0.002025211,0.393022204,0.393022204,63,200,3,260.3435912,0.393022204
312,GRANOVETTER M 1983,GRANOVETTER M 1983,0.072607261,0.24201278,0.004071521,0.002338969,0.159941739,0.159941739,134,155,3,905.8308677,0.159941739
157,CAIANI M 2009,CAIANI M 2009,0.117161716,0.246742671,0.003401781,0.002903804,0.585381853,0.585381853,18,507,10,785.2988824,0.585381853
158,CAMBINI C 2009,CAMBINI C 2009,0.00330033,0.19392,0.00328942,0.000815344,0.001893533,0.001893533,592,362,12,603,0.001893533
159,CAMPBELL D 1965,CAMPBELL D 1965,0.090759076,0.24019025,0.00180515,0.002376291,0.349251588,0.349251588,68,282,10,377.939347,0.349251588
160,CAMPBELL SW 2008,CAMPBELL SW 2008,0.0330033,0.228076778,0.000278746,0.001164832,0.074423209,0.074423209,397,212,5,67.54470714,0.074423209
268,FOUCAULT M 1972,FOUCAULT M 1972,0.051155116,0.23971519,0.001349489,0.001691593,0.089573633,0.089573633,243,269,8,356.6793291,0.089573633
373,JENKINS H 2013,JENKINS H 2013,0.051155116,0.231828615,0.000948355,0.001694725,0.068268056,0.068268056,307,271,8,229.6784626,0.068268056
163,CARPINI MXD 2004,CARPINI MXD 2004,0.037953795,0.238394965,0.000560049,0.0012706,0.090239895,0.090239895,321,35,2,133.1611242,0.090239895
153,BURT RS 2004,BURT RS 2004,0.070957096,0.241819633,0.000407243,0.001886484,0.391659509,0.391659509,70,255,3,100.2924685,0.391659509
497,PARK HW 2010,PARK HW 2010,0.070957096,0.24298316,0.001187728,0.002033601,0.234120047,0.234120047,121,461,3,201.2893251,0.234120047
143,BURRELL J 2012,BURRELL J 2012,0.037953795,0.219644799,1.77E-05,0.001230059,0.064537081,0.064537081,427,56,1,7.279647567,0.064537081
234,DODGE M 2008,DODGE M 2008,0.037953795,0.220684632,7.21E-05,0.001241564,0.060697346,0.060697346,430,60,1,19.15329197,0.060697346
517,RAINIE L 2012,RAINIE L 2012,0.070957096,0.238394965,0.003397512,0.002259504,0.130517994,0.130517994,156,186,3,538.0020833,0.130517994
539,SCHULTZ F 2012,SCHULTZ F 2012,0.079207921,0.238207547,0.008165443,0.002398936,0.143409325,0.143409325,129,175,6,746.075034,0.143409325
170,CASTELLS M 2009,CASTELLS M 2009,0.148514851,0.25440806,0.018065799,0.00421795,0.320080623,0.320080623,22,146,2,3634.858853,0.320080623
171,CASTELLS M 2012,CASTELLS M 2012,0.082508251,0.248055669,0.006456577,0.002506766,0.197396403,0.197396403,105,309,2,956.4951715,0.197396403
172,CASTELLS MANUEL 2001,CASTELLS MANUEL 2001,0.03960396,0.2344294,0.003007083,0.001501535,0.06383774,0.06383774,327,403,2,638.5621708,0.06383774
173,CENTOLA D 2007,CENTOLA D 2007,0.054455446,0.239242006,0.001608532,0.001682804,0.147971741,0.147971741,172,36,2,356.1604196,0.147971741
359,HOGAN B 2008,HOGAN B 2008,0.069306931,0.240571655,0.003036508,0.002108495,0.174037469,0.174037469,137,302,3,652.6149484,0.174037469
