,vertexID,X.x,vertexCentrDegree,vertexCentrCloseness,vertexCentrEigen,vertexCentrBetweenness,vertexPageRank,vertexHub,vertexAuthority,Ranking,X.y,cluster,btw_centrality
152,"ROSSI L, 2016","ROSSI L, 2016",0.063670412,0.014718853,0.133934008,0.003986213,0.004196788,0.133934008,0.133934008,105,55,2,138.581748
203,"YUAN YC, 2006","YUAN YC, 2006",0.157303371,0.014766882,0.56490441,0.009945296,0.00823626,0.56490441,0.56490441,33,178,1,340.1464181
44,"DENISON T, 2013","DENISON T, 2013",0.153558052,0.014765249,0.536305975,0.006754598,0.007735765,0.536305975,0.536305975,40,102,1,303.3295217
83,"HORAN TJ, 2013","HORAN TJ, 2013",0.059925094,0.0147221,0.141504772,0.002147149,0.003905308,0.141504772,0.141504772,111,110,2,98.29932794
96,"KHAN GF, 2014","KHAN GF, 2014",0.007490637,0.014498262,0.000840105,0,0.00192085,0.000840105,0.000840105,187,91,14,0
68,"GILPIN D, 2010","GILPIN D, 2010",0.146067416,0.014764433,0.56128306,0.005971874,0.007462478,0.56128306,0.56128306,41,156,1,153.7093284
146,"PILNY A, 2012","PILNY A, 2012",0.146067416,0.014764433,0.491415965,0.007092367,0.007463852,0.491415965,0.491415965,44,127,1,214.2257487
93,"JOHNSON JD, 1997","JOHNSON JD, 1997",0.142322097,0.014753011,0.583758737,0.00241867,0.006800828,0.583758737,0.583758737,43,206,1,95.13293549
79,"HIMELBOIM I, 2016","HIMELBOIM I, 2016",0.071161049,0.014728597,0.189731205,0.007451595,0.004643791,0.189731205,0.189731205,86,35,6,298.178805
133,"NAMKOONG K, 2017","NAMKOONG K, 2017",0.071161049,0.01472616,0.139197785,0.003312527,0.004451634,0.139197785,0.139197785,104,19,6,146.2900884
158,"SEGEV E, 2013-2","SEGEV E, 2013-2",0.138576779,0.014756273,0.49822276,0.004442258,0.006885619,0.49822276,0.49822276,50,114,1,167.3730493
180,VAN CLEEMPUT 2012,VAN CLEEMPUT 2012,0.108614232,0.014735913,0.338192277,0.012306198,0.006281513,0.338192277,0.338192277,58,124,7,487.4642555
185,"VERGEER M, 2008","VERGEER M, 2008",0.093632959,0.014731847,0.28447812,0.001446707,0.004856245,0.28447812,0.28447812,81,168,7,57.0397503
51,"DVIR-GVIRSMAN S, 2016","DVIR-GVIRSMAN S, 2016",0.134831461,0.01475872,0.561006771,0.003517412,0.006664869,0.561006771,0.561006771,46,42,1,145.2695076
205,"ZHENG P, 2016","ZHENG P, 2016",0.134831461,0.014753827,0.545444219,0.00338677,0.006588495,0.545444219,0.545444219,47,28,1,153.7685937
17,"BROOKS B, 2011","BROOKS B, 2011",0.131086142,0.014757088,0.454797732,0.004639909,0.006541837,0.454797732,0.454797732,52,139,1,177.5664414
23,"CAPPELLA JN, 2017","CAPPELLA JN, 2017",0.119850187,0.014749751,0.453129354,0.004890819,0.006223511,0.453129354,0.453129354,55,8,1,213.3156139
148,"PRENDERGAST G, 2010","PRENDERGAST G, 2010",0.119850187,0.014752196,0.467173399,0.005107025,0.006225458,0.467173399,0.467173399,53,154,1,228.3183064
98,"KIM H, 2006","KIM H, 2006",0.116104869,0.014735913,0.525904159,0.00102827,0.005533428,0.525904159,0.525904159,57,179,1,60.87149769
197,"WU AX, 2016","WU AX, 2016",0.04494382,0.014721288,0.123466754,0.001076063,0.002906801,0.123466754,0.123466754,129,41,3,91.82337129
